code;libelle;code_fnere
001001;CULTURE CÉRÉALIÈRE;0111
001005;CULTURE DE FRUITS;0136
002001;CULTURE DE CANNE À SUCRE;0136
002005;CULTURE DE COTON;0114
0111;CULTURE DE CÉRÉALES;0111
0112;CULTURE DE TUBERCULES ET DE LÉGUMES À COSSE SECS;0112
0113;CULTURE DE PLANTES OLÉAGINEUSES;0113
0114;CULTURE DU COTON;0114
0115;EGRENAGE DU COTON;0115
0116;AUTRES CULTURES N.C.A;0116
0121;CULTURE DE LÉGUMES;0121
0122;"HORTICULTURE ; PÉPINIÈRES";0122
0131;CULTURE DU CACAO;0131
0132;CULTURE DU CAFÉ (CAFÉ COQUE) ET DU THÉ;0132
0133;PRODUCTION DE CAFÉ MARCHAND;0132
0134;CULTURE DE LA BANANE;0134
0135;CULTURE DE L'ANANAS;0135
0136;CULTURE D'AUTRES FRUITS;0136
0137;CULTURE DE PLANTES À ÉPICES;0137
0141;ELEVAGE DE BOVINS;0141
0142;ELEVAGE D'OVINS, DE CAPRINS ET D'ÉQUIDÉS;0142
0143;ELEVAGE DE PORCINS;0146
0144;ELEVAGE DE VOLAILLE;0147
0145;ELEVAGE DE CAMÉLIDÉS;0143
0146;ELEVAGE D'ANIMAUX N.C.A;0148
0150;CULTURE ET ÉLEVAGE ASSOCIÉS;0150
0160;ACTIVITÉS ANNEXES À LA CULTURE ET À L'ÉLEVAGE;0160
0170;CHASSE, PIÉGEAGE, REPEUPLEMENT EN GIBIER ET ACTIVITÉS ANNEXES;0170
017001;APPUI CONSEIL EN RESSOURCES ANIMALES;0170
0211;SYLVICULTURE;0211
0212;EXPLOITATION FORESTIÈRE;0212
0220;CUEILLETTE;0220
0230;ACTIVITÉS ANNEXES À LA SYLVICULTURE ET À L'EXPLOITATION FORESTIÈRE;0230
033001;GESTION DES HÔTELS;5500
033002;GESTION DES RESTAURANTS;5610
033003;GESTION DES DÉBITS DE BOISSONS;5620
0501;PÊCHE ARTISANALE;0301
0502;PÊCHE INDUSTRIELLE;0302
0503;PISCICULTURE, AQUACULTURE;0303
1000;"EXTRACTION DE CHARBON ET DE LIGNITE ; EXTRACTION DE TOURBE";0500
1110;EXTRACTION DE PÉTROLE BRUT ET DE GAZ NATUREL;0601
1120;ACTVITÉS ANNEXES À L'EXTRACTION DE PÉTROLE BRUT ET DE GAZ NATUREL;0602
1200;EXTRACTION DE MINERAIS D'URANIUM;0721
1310;EXTRACTION DE MINERAIS DE FER;0710
1321;EXTRACTION DE MINERAIS DE MÉTAUX PRÉCIEUX;0722
1322;EXTRACTION DE BAUXITE;0723
1323;EXTRACTION DE MINERAIS DE CUIVRE;0724
1324;EXTRACTION DE MINERAIS DE MANGANÈSE;0725
1325;EXTRACTION D'AUTRES MINERAIS MÉTALLIQUES N.C.A;0726
